target1,target2
2,-4.692
3,-4.81849
2,-4.82038
1,-5.06599
2,-5.09501
1,-5.11022
1,-5.14148
2,-5.22266
2,-5.23613
2,-5.28076
3,-5.30707
1,-5.32943
1,-5.33705
1,-5.41493
2,-5.42887
1,-5.43055
2,-5.44224
3,-5.44914
1,-5.45118
1,-5.45887
2,-5.46444
0,-5.48973
3,-5.50859
1,-5.50977
2,-5.51735
2,-5.54828
2,-5.55546
1,-5.55754
1,-5.56263
2,-5.56598
1,-5.56998
2,-5.58863
1,-5.59145
2,-5.59742
0,-5.6059
0,-5.6059
1,-5.60899
1,-5.61904
2,-5.62209
0,-5.62766
1,-5.63405
3,-5.64559
1,-5.64711
2,-5.64798
2,-5.64841
1,-5.65575
1,-5.65656
3,-5.66352
0,-5.70803
1,-5.71431
2,-5.72903
1,-5.73023
1,-5.7421
0,-5.74666
2,-5.74748
1,-5.77569
1,-5.77576
0,-5.7803
1,-5.79527
1,-5.79756
1,-5.79981
0,-5.80517
1,-5.80528
1,-5.81879
0,-5.83073
1,-5.83255
0,-5.8397
0,-5.84515
1,-5.85004
2,-5.85274
2,-5.85378
1,-5.87418
0,-5.88956
0,-5.89672
0,-5.89781
1,-5.89973
3,-5.90913
1,-5.91266
1,-5.91303
1,-5.91809
1,-5.9214
0,-5.92922
1,-5.93137
0,-5.93444
0,-5.93753
0,-5.93859
0,-5.94032
2,-5.9498
1,-5.96748
2,-5.97995
0,-5.98084
1,-5.99107
0,-5.99321
3,-5.74747
2,-5.76803
2,-5.76949
0,-5.85243
0,-6.05815
0,-6.06256
0,-6.07048
1,-6.16052
1,-6.19915
0,-6.22161
1,-6.24073
0,-6.25353
0,-6.30393
0,-6.31562
0,-6.34112
1,-6.35579
0,-6.36224
0,-6.37446
0,-6.39982
0,-6.42457
0,-6.43516
0,-6.44728
2,-6.44795
0,-6.44836
0,-6.45249
1,-6.45284
0,-6.46019
0,-6.48776
0,-6.49433
0,-6.512
0,-6.56552
1,-6.57048
0,-6.59268
0,-6.62211
0,-6.63196
0,-6.64324
0,-6.64725
3,-6.65425
1,-6.66288
0,-6.66503
0,-6.67604
0,-6.67626
2,-6.67634
3,-7.69572
1,-7.96651
1,-8.02203
2,-8.03983
0,-8.09182
1,-8.09641
0,-8.11807
3,-8.11921
0,-8.16893
2,-8.17137
1,-8.22604
0,-8.26179
0,-8.28385
0,-8.32513
0,-8.33772
2,-8.34147
2,-8.35931
1,-8.36737
1,-8.37183
2,-8.39418
1,-8.44122
0,-8.46974
0,-8.47065
1,-8.49574
1,-8.49671
0,-8.49993
1,-8.50626
1,-8.51465
0,-8.52397
0,-8.52853
0,-8.53388
3,-8.53779
1,-8.54578
0,-8.54939
0,-8.55413
0,-8.55979
1,-8.56323
0,-8.56667
2,-8.56709
0,-8.57254
0,-8.5887
2,-8.6021
2,-8.62421
0,-8.62695
0,-8.63564
0,-8.64429
0,-8.64982
0,-8.65513
1,-8.65539
0,-8.66298
0,-8.67085
1,-8.67492
0,-8.6799
0,-8.6826
1,-8.68297
0,-8.69437
0,-8.6998
0,-8.69994
0,-8.70401
0,-8.71466
3,-5.07388
2,-5.98538
1,-6.03062
3,-6.07487
3,-6.0902
3,-6.11787
1,-6.21876
3,-6.33615
2,-6.36202
0,-6.36748
1,-6.4905
2,-6.52175
3,-6.60367
1,-6.63044
0,-6.63594
3,-6.65601
3,-6.71531
1,-6.73539
0,-6.79845
2,-6.89452
1,-6.91385
0,-6.95613
2,-6.98899
3,-6.99109
0,-7.00438
1,-7.00956
0,-7.07577
0,-7.10172
0,-7.10656
0,-7.13927
0,-7.15471
0,-7.2007
0,-7.27133
0,-7.28443
0,-7.30288
0,-7.3034
0,-7.32953
0,-7.43653
0,-7.49103
1,-7.50332
1,-7.50642
1,-7.54082
0,-7.56566
0,-7.56645
0,-7.61002
0,-7.62497
0,-7.63242
0,-7.64449
0,-4.75254
0,-4.78691
0,-4.84068
3,-4.92084
1,-4.98103
0,-4.9935
0,-5.07154
3,-5.07398
1,-5.07416
1,-5.09259
1,-5.09815
1,-5.1866
0,-5.19007
0,-5.20502
0,-5.23611
2,-5.25799
2,-5.28212
2,-5.28212
2,-5.28212
1,-5.30513
0,-5.30544
1,-5.33022
0,-5.33048
1,-5.36409
0,-5.3768
3,-5.38817
1,-5.39561
1,-5.42779
1,-5.4288
1,-5.42955
1,-5.42955
0,-5.43099
1,-5.44437
1,-5.44437
1,-5.44437
0,-5.45967
1,-5.46225
0,-5.46918
1,-5.48324
1,-5.48936
1,-5.48936
1,-5.49236
1,-5.49913
1,-5.52239
0,-5.52239
0,-5.54049
1,-5.5446
0,-5.57082
0,-5.57089
1,-5.57203
1,-5.57316
2,-5.58058
1,-5.596
0,-5.59711
1,-5.60506
0,-5.6081
0,-5.6095
3,-4.20325
2,-4.41507
3,-4.4539
2,-4.48715
0,-4.50855
0,-4.54544
